2026-08-31 14:56:54 | DEBUG   | steamreq | logging inicializado | arquivo=C:\Users\z004kree\OneDrive - Siemens Energy\Área de Trabalho\MBA DSA\steam-req-pipeline\data/logs\run_20260831_145654.log
2026-08-31 14:56:54 | INFO    | steamreq.cli | ==============================================================================
2026-08-31 14:56:54 | INFO    | steamreq.cli | steam-req-pipeline v0.1.0 | scraper=0.1.0 | filter_version=1.1.0
2026-08-31 14:56:54 | INFO    | steamreq.cli | log persistente: C:\Users\z004kree\OneDrive - Siemens Energy\Área de Trabalho\MBA DSA\steam-req-pipeline\data/logs\run_20260831_145654.log
2026-08-31 14:56:54 | INFO    | steamreq.cli | ==============================================================================
2026-08-31 14:56:54 | INFO    | steamreq.tags | [TAGS]      taxonomia carregada do cache | 446 tags | coletada em 2026-08-31T13:00:47Z
2026-08-31 14:56:54 | INFO    | steamreq.cli | [TAGS]      446 tags oficiais | 42/42 tags do filtro resolvidas
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte 3D                     -> 4191
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte First-Person           -> 3839
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Third Person           -> 1697
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Third-Person Shooter   -> 3814
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte FPS                    -> 1663
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte 3D Platformer          -> 5395
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte 3D Fighter             -> 6506
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Immersive Sim          -> 9204
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Walking Simulator      -> 5900
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Automobile Sim         -> 1100687
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Flight                 -> 15045
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Space Sim              -> 16598
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Looter Shooter         -> 353880
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Hero Shooter           -> 620519
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Arena Shooter          -> 5547
2026-08-31 14:56:54 | DEBUG   | steamreq.cli | [TAGS]      positiva forte Rail Shooter           -> 3954
2026-08-31 14:56:54 | INFO    | steamreq.discovery | [DISCOVERY] 24 tags positivas a consultar | untags=Indie(492) | ritmo 4.0s/req
2026-08-31 14:56:54 | INFO    | steamreq.discovery | [DISCOVERY] --- tag 1/24: 3D ---
2026-08-31 14:56:55 | INFO    | steamreq.discovery | [DISCOVERY] tag 3D (4191) untags=Indie(492) -> total_count=26,761
2026-08-31 14:57:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0005/0536 | 250 app_ids | 0.9% | decorrido 00:00:16
2026-08-31 14:57:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0010/0536 | 498 app_ids | 1.9% | decorrido 00:00:36
2026-08-31 14:57:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0015/0536 | 747 app_ids | 2.8% | decorrido 00:00:56
2026-08-31 14:58:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0020/0536 | 996 app_ids | 3.7% | decorrido 00:01:16
2026-08-31 14:58:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0025/0536 | 1,243 app_ids | 4.7% | decorrido 00:01:36
2026-08-31 14:58:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0030/0536 | 1,491 app_ids | 5.6% | decorrido 00:01:56
2026-08-31 14:59:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0035/0536 | 1,741 app_ids | 6.5% | decorrido 00:02:16
2026-08-31 14:59:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0040/0536 | 1,990 app_ids | 7.5% | decorrido 00:02:36
2026-08-31 14:59:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0045/0536 | 2,239 app_ids | 8.4% | decorrido 00:02:56
2026-08-31 15:00:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0050/0536 | 2,488 app_ids | 9.3% | decorrido 00:03:16
2026-08-31 15:00:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0055/0536 | 2,734 app_ids | 10.3% | decorrido 00:03:36
2026-08-31 15:00:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0060/0536 | 2,981 app_ids | 11.2% | decorrido 00:03:56
2026-08-31 15:01:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0065/0536 | 3,226 app_ids | 12.1% | decorrido 00:04:16
2026-08-31 15:01:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0070/0536 | 3,472 app_ids | 13.1% | decorrido 00:04:36
2026-08-31 15:01:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0075/0536 | 3,713 app_ids | 14.0% | decorrido 00:04:56
2026-08-31 15:02:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0080/0536 | 3,949 app_ids | 14.9% | decorrido 00:05:16
2026-08-31 15:02:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0085/0536 | 4,192 app_ids | 15.9% | decorrido 00:05:36
2026-08-31 15:02:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0090/0536 | 4,398 app_ids | 16.8% | decorrido 00:05:56
2026-08-31 15:03:11 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0095/0536 | 4,639 app_ids | 17.7% | decorrido 00:06:16
2026-08-31 15:03:31 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0100/0536 | 4,884 app_ids | 18.7% | decorrido 00:06:36
2026-08-31 15:03:51 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | pag 0105/0536 | 5,116 app_ids | 19.6% | decorrido 00:06:56
